Energy related CO2 emissions by fuel (ktCO2),Oil,Gas,Coal,Peat,Wastes Non-Renewable
2005,27982,8332,7463,3766,0
2006,27351,9444,6465,3564,0
2007,27390,10150,6342,3483,0
2008,27141,10772,5591,4132,0
2009,23479,10258,4536,4134,29
2010,22113,11269,4884,3612,17
2011,20557,9905,4888,3423,30
2012,18961,9622,5893,3744,96
2013,19137,9061,5202,3525,129
2014,18984,8860,4893,3687,139
2015,20200,8981,5657,3627,145
2016,21109,9942,5434,3483,140
2017,21038,10071,4361,3343,239
2018,21760,10466,2877,3191,307
